ID_Terminal,ID_Tanque_Local,Tipo_Tanque,Subtipo_Tanque,Capacidad_Tanque_barriles,Cantidad_Tanques
TAR_ACG_GRO,TV_006,Cilíndrico Vertical Atmosférico,Membrana Flotante,30000,1
TAR_ACG_GRO,TV_011,Cilíndrico Vertical Atmosférico,Membrana Flotante,55000,1
TAR_ACG_GRO,TV_260,Cilíndrico Vertical Atmosférico,Membrana Flotante,10000,1
TAR_ACG_GRO,TV_261,Cilíndrico Vertical Atmosférico,Membrana Flotante,10000,1
TAR_ACG_GRO,TV_386,Cilíndrico Vertical Atmosférico,Membrana Flotante,30000,1
TAR_ACG_GRO,TV_182,Cilíndrico Vertical Atmosférico,Membrana Flotante,20000,1
TAR_ACG_GRO,TV_259,Cilíndrico Vertical Atmosférico,Membrana Flotante,20000,1
TAR_ACG_GRO,TV_005,Cilíndrico Vertical Atmosférico,Membrana Flotante,30000,1
TAR_ACG_GRO,TV_010,Cilíndrico Vertical Atmosférico,Membrana Flotante,10000,1
TAR_ACG_GRO,TV_007,Cilíndrico Vertical Atmosférico,Membrana Flotante,10000,1
TAR_ACG_GRO,TV_263,Cilíndrico Vertical Atmosférico,Membrana Flotante,10000,1
TAR_AGS_AGS,TV_20,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_AGS_AGS,TV_21,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_AGS_AGS,TV_22,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,10000,1
TAR_AGS_AGS,TV_23,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,10000,1
TAR_AGS_AGS,TV_24,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_AGS_AGS,TV_25,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_AGS_AGS,TV_26,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_AÑL_CDM,TV_2,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,55000,1
TAR_AÑL_CDM,TV_3,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,35000,1
TAR_AÑL_CDM,TV_4,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,30000,1
TAR_AÑL_CDM,TV_6,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_AÑL_CDM,TV_8,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,55000,1
TAR_AÑL_CDM,TV_10,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,55000,1
TAR_AZC_CDM,TV_1,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_2,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_3,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_4,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_5,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_6,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_7,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_8,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_9,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_10,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_11,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_12,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_13,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_14,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,100000,1
TAR_AZC_CDM,TV_15,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,30000,1
TAR_AZC_CDM,TV_16,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,30000,1
TAR_AZC_CDM,TV_17,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_AZC_CDM,TV_18,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_AZC_CDM,TV_1,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,10000,1
TAR_BDM_CDM,TV_2,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,55000,1
TAR_BDM_CDM,TV_3,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_BDM_CDM,TV_4,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_BDM_CDM,TV_5,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_BDM_CDM,TV_6,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_BDM_CDM,TV_8,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_BLP_VER,TE_1,Esférico,No especificado,10000,1
TAR_CAD_NL,TV_1,Cilíndrico Vertical Atmosférico,Cúpula Flotante,10000,1
TAR_CAD_NL,TV_2,Cilíndrico Vertical Atmosférico,Cúpula Flotante,10000,1
TAR_CAD_NL,TV_3,Cilíndrico Vertical Atmosférico,Cúpula Flotante,10000,1
TAR_CAD_NL,TV_4,Cilíndrico Vertical Atmosférico,Cúpula Flotante,10000,1
TAR_CAD_NL,TV_5,Cilíndrico Vertical Atmosférico,Techo Fijo,10000,1
TAR_CAD_NL,TV_6,Cilíndrico Vertical Atmosférico,Techo Fijo,10000,1
TAR_CAD_NL,TV_7,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,10000,1
TAR_CAD_NL,TV_8,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,10000,1
TAR_CAD_NL,TV_9,Cilíndrico Vertical Atmosférico,Cúpula Flotante,10000,1
TAR_CAD_NL,TV_10,Cilíndrico Vertical Atmosférico,Cúpula Flotante,10000,1
TAR_CAM_CAM,TV_4,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,30000,1
TAR_CAM_CAM,TV_190,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,55000,1
TAR_CAM_CAM,TV_73,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_CAM_CAM,TV_3,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_CAM_CAM,TV_2,Cilíndrico Vertical Atmosférico,Techo Fijo con Membrana Interna Flotante,10000,1
TAR_CAM_CAM,TV_301,Cilíndrico Vertical Atmosférico,Techo Fijo,80000,1
TAR_CAM_CAM,TV_300,Cilíndrico Vertical Atmosférico,Techo Fijo,80000,1
TAR_CEL_GTO,TV_56,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_CEL_GTO,TV_57,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,55000,1
TAR_CEL_GTO,TV_58,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_CEL_GTO,TV_59,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_CEL_GTO,TV_60,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_CEL_GTO,TV_61,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_CEL_GTO,TV_62,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_CEL_GTO,TV_63,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_CHI_CHI,TV_1,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,5000,1
TAR_CHI_CHI,TV_2,Cilíndrico Vertical Atmosférico,Cúpula Flotante,55000,1
TAR_CHI_CHI,TV_3,Cilíndrico Vertical Atmosférico,Cúpula Flotante,55000,1
TAR_CHI_CHI,TV_4,Cilíndrico Vertical Atmosférico,Cúpula Flotante,55000,1
TAR_CHI_CHI,TV_5,Cilíndrico Vertical Atmosférico,Cúpula Flotante,10000,1
TAR_CHI_CHI,TV_6,Cilíndrico Vertical Atmosférico,Cúpula Flotante,10000,1
TAR_CHI_CHI,TV_7,Cilíndrico Vertical Atmosférico,Cúpula Fija,55000,1
TAR_CHI_CHI,TV_8,Cilíndrico Vertical Atmosférico,Cúpula Fija,30000,1
TAR_CHI_CHI,TV_9,Cilíndrico Vertical Atmosférico,Cúpula Fija,30000,1
TAR_CHI_CHI,TV_11,Cilíndrico Vertical Atmosférico,Cúpula Fija,30000,1
TAR_CHI_CHI,TV_12,Cilíndrico Vertical Atmosférico,Cúpula Fija,30000,1
TAR_CHI_CHI,TV_16,Cilíndrico Vertical Atmosférico,Cúpula Flotante,55000,1
TAR_CJC_CHI,TV_1,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,55000,1
TAR_CJC_CHI,TV_2,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,55000,1
TAR_CJC_CHI,TV_3,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,20000,1
TAR_CJC_CHI,TV_4,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,55000,1
TAR_CJC_CHI,TV_5,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,30000,1
TAR_CJC_CHI,TV_7,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,10000,1
TAR_CJC_CHI,TV_8,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,10000,1
TAR_CJC_CHI,TV_10,Cilíndrico Vertical Atmosférico,Membrana Interna Flotante,10000,1
TAR_CLP_CHS,TE_1,Esférico,No especificado,10000,1
TAR_CLP_CHS,TE_2,Esférico,No especificado,10000,1
TAR_CLP_CHS,TE_3,Esférico,No especificado,10000,1
TAR_CLP_CHS,TE_4,Esférico,No especificado,10000,1
TAR_COL_COL,TV_1,Cilíndrico Vertical Atmosférico,Membrana Flotante,15000,1
TAR_COL_COL,TV_3,Cilíndrico Vertical Atmosférico,Membrana Flotante,10000,1
TAR_COL_COL,TV_4,Cilíndrico Vertical Atmosférico,Techo Fijo,10000,1
TAR_COL_COL,TV_5,Cilíndrico Vertical Atmosférico,Techo Fijo,10000,1
TAR_COL_COL,TV_2,Cilíndrico Vertical Atmosférico,Membrana Flotante,5000,1
TAR_COL_COL,TV_6,Cilíndrico Vertical Atmosférico,Membrana Flotante,5000,1
TAR_CUA_MOR,TV_1,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_CUA_MOR,TV_2,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,10000,1
TAR_CUA_MOR,TV_3,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,20000,1
TAR_CUA_MOR,TV_4,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,10000,1
TAR_CUE_MOR,TV_1,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,10000,1
TAR_CUE_MOR,TV_2,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,10000,1
TAR_CUE_MOR,TV_3,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_CUE_MOR,TV_4,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_CUE_MOR,TV_5,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_CUE_MOR,TV_6,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_CUE_MOR,TV_7,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_CUE_MOR,TV_8,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,5000,1
TAR_CUE_MOR,TV_9,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,55000,1
TAR_CUE_MOR,TV_10,Cilíndrico Vertical,Techo Fijo con Membrana Interna Flotante,30000,1
TAR_CUL_SIN,TV_201,Cilíndrico Vertical Atmosférico,Membrana Flotante,10000,1
