,ID_Terminal,Nombre_Terminal,Tipo_Terminal,Región,Estado,Tipos_Productos_Almacenar,Año,Capacidad_Diseño_barriles,Capacidad_Operativa_barriles
0,TAR_ACG_GRO,Acapulco,Terrestre,Sur,Guerrero,Gasolina;Diésel,2015,235000,145262
1,TAR_AGS_AGS,Aguascalientes,Terrestre,Occidente,Aguascalientes,Gasolina;Diésel,2015,105000,68241
2,TAR_AÑL_CDM,Añil,Terrestre,Centro,Ciudad de México,Gasolina;Diésel,2015,235000,158343
3,TAR_AZC_CDM,Azcapotzalco,Terrestre,Centro,Ciudad de México,Gasolina;Diésel;Turbosina,2015,1510000,1107981
4,TAR_BDM_CDM,Barranca del Muerto,Terrestre,Centro,Ciudad de México,Gasolina;Diésel,2015,125000,91526
6,TAR_CAD_NL,Cadereyta,Terrestre,Noreste,Nuevo León,Gasolina;Diésel,2015,100000,74699
7,TAR_CAM_CAM,Campeche,Terrestre,Sureste,Campeche,Gasolina;Diésel,2015,265000,208410
8,TAR_CEL_GTO,Celaya,Terrestre,Occidente,Guanajuato,Gasolina;Diésel,2015,180000,130230
9,TAR_CHI_CHI,Chihuahua,Terrestre,Norte,Chihuahua,Gasolina;Diésel,2015,420000,336158
10,TAR_CJC_CHI,Ciudad Juárez,Terrestre,Norte,Chihuahua,Gasolina;Diésel,2015,245000,184554
11,TAR_COL_COL,Colima,Terrestre,Occidente,Colima,Gasolina;Diésel,2015,55000,43704
12,TAR_CUA_MOR,Cuautla,Terrestre,Centro,Morelos,Gasolina;Diésel,2015,60000,44742
13,TAR_CUE_MOR,Cuernavaca,Terrestre,Centro,Morelos,Gasolina;Diésel,2015,135000,102226
14,TAR_CUL_SIN,Culiacán,Terrestre,Noroeste,Sinaloa,Gasolina;Diésel,2015,115000,85203
15,TAR_DGO_DGO,Durango,Terrestre,Norte,Durango,Gasolina;Diésel,2015,75000,51728
16,TAR_ELC_JAL,El Castillo,Terrestre,Occidente,Jalisco,Gasolina;Diésel,2015,345000,220593
17,TAR_ENS_BC,Ensenada,Terrestre,Noroeste,Baja California,Gasolina;Diésel,2015,135000,100086
18,TAR_ESC_VER,Escamela,Terrestre,Golfo,Veracruz,Gasolina;Diésel,2015,98000,70265
19,TAR_GPD_DGO,Gomez Palacio,Terrestre,Norte,Durango,Gasolina;Diésel,2015,475000,339662
20,TAR_GML_SIN,Guamuchil,Terrestre,Noroeste,Sinaloa,Gasolina;Diésel,2015,105000,74128
21,TAR_GYM_SON,Guaymas,Terrestre,Noroeste,Sonora,Gasolina;Diésel,2015,750000,534164
22,TAR_HER_SON,Hermosillo,Terrestre,Noroeste,Sonora,Gasolina;Diésel,2015,125000,86048
23,TAR_IGU_GRO,Iguala,Terrestre,Sur,Guerrero,Gasolina;Diésel,2015,60000,41867
24,TAR_IRP_GTO,Irapuato,Terrestre,Occidente,Guanajuato,Gasolina;Diésel;Turbosina;Combustóleo,2015,435000,314169
25,TAR_JAL_VER,Jalapa,Terrestre,Golfo,Veracruz,Gasolina;Diésel,2015,45000,27068
26,TAR_LPB_BJS,La Paz,Terrestre,Noroeste,Baja California Sur,Gasolina;Diésel,2015,230000,161793
